Plan Option,Employment Status,Pay Frequency,Enrollment Type,Rate Code,Premium
STANDARD,EMPLOYED,Biweekly,Self Only,1,10.82
STANDARD,EMPLOYED,Biweekly,Self Only,2,12.11
STANDARD,EMPLOYED,Biweekly,Self Only,3,13.27
STANDARD,EMPLOYED,Biweekly,Self Only,4,14.81
STANDARD,EMPLOYED,Biweekly,Self Only,5,16.00
STANDARD,EMPLOYED,Biweekly,Self Plus One,1,21.61
STANDARD,EMPLOYED,Biweekly,Self Plus One,2,24.22
STANDARD,EMPLOYED,Biweekly,Self Plus One,3,26.48
STANDARD,EMPLOYED,Biweekly,Self Plus One,4,29.60
STANDARD,EMPLOYED,Biweekly,Self Plus One,5,32.00
STANDARD,EMPLOYED,Biweekly,Self and Family,1,32.41
STANDARD,EMPLOYED,Biweekly,Self and Family,2,36.24
STANDARD,EMPLOYED,Biweekly,Self and Family,3,39.75
STANDARD,EMPLOYED,Biweekly,Self and Family,4,44.39
STANDARD,EMPLOYED,Biweekly,Self and Family,5,48.00
STANDARD,RETIRED,Monthly,Self Only,1,23.44
STANDARD,RETIRED,Monthly,Self Only,2,26.24
STANDARD,RETIRED,Monthly,Self Only,3,28.75
STANDARD,RETIRED,Monthly,Self Only,4,32.09
STANDARD,RETIRED,Monthly,Self Only,5,34.67
STANDARD,RETIRED,Monthly,Self Plus One,1,46.82
STANDARD,RETIRED,Monthly,Self Plus One,2,52.48
STANDARD,RETIRED,Monthly,Self Plus One,3,57.37
STANDARD,RETIRED,Monthly,Self Plus One,4,64.13
STANDARD,RETIRED,Monthly,Self Plus One,5,69.33
STANDARD,RETIRED,Monthly,Self and Family,1,70.22
STANDARD,RETIRED,Monthly,Self and Family,2,78.52
STANDARD,RETIRED,Monthly,Self and Family,3,86.13
STANDARD,RETIRED,Monthly,Self and Family,4,96.18
STANDARD,RETIRED,Monthly,Self and Family,5,104.00
HIGH,EMPLOYED,Biweekly,Self Only,1,18.97
HIGH,EMPLOYED,Biweekly,Self Only,2,21.32
HIGH,EMPLOYED,Biweekly,Self Only,3,23.26
HIGH,EMPLOYED,Biweekly,Self Only,4,26.05
HIGH,EMPLOYED,Biweekly,Self Only,5,28.23
HIGH,EMPLOYED,Biweekly,Self Plus One,1,37.92
HIGH,EMPLOYED,Biweekly,Self Plus One,2,42.62
HIGH,EMPLOYED,Biweekly,Self Plus One,3,46.53
HIGH,EMPLOYED,Biweekly,Self Plus One,4,52.08
HIGH,EMPLOYED,Biweekly,Self Plus One,5,56.46
HIGH,EMPLOYED,Biweekly,Self and Family,1,56.88
HIGH,EMPLOYED,Biweekly,Self and Family,2,63.95
HIGH,EMPLOYED,Biweekly,Self and Family,3,69.79
HIGH,EMPLOYED,Biweekly,Self and Family,4,78.13
HIGH,EMPLOYED,Biweekly,Self and Family,5,84.63
HIGH,RETIRED,Monthly,Self Only,1,41.10
HIGH,RETIRED,Monthly,Self Only,2,46.19
HIGH,RETIRED,Monthly,Self Only,3,50.40
HIGH,RETIRED,Monthly,Self Only,4,56.44
HIGH,RETIRED,Monthly,Self Only,5,61.17
HIGH,RETIRED,Monthly,Self Plus One,1,82.16
HIGH,RETIRED,Monthly,Self Plus One,2,92.34
HIGH,RETIRED,Monthly,Self Plus One,3,100.82
HIGH,RETIRED,Monthly,Self Plus One,4,112.84
HIGH,RETIRED,Monthly,Self Plus One,5,122.33
HIGH,RETIRED,Monthly,Self and Family,1,123.24
HIGH,RETIRED,Monthly,Self and Family,2,138.56
HIGH,RETIRED,Monthly,Self and Family,3,151.21
HIGH,RETIRED,Monthly,Self and Family,4,169.28
HIGH,RETIRED,Monthly,Self and Family,5,183.37
